id,name,dob_m,dob_d,dob_y,height_ft,height_in,position_1,position_2,image
341,Ioan Andone,3,15,1960,,,Defender,,
342,Ivaylo Andonov,8,14,1967,,,Forward,,
343,Jose Andrade,11,22,1901,,,Midfielder,,
344,Andre,5,14,1978,5,8,Midfielder,,
345,Andre,12,24,1957,,,Midfielder,,
346,Fritz Andre,9,18,1946,,,Defender,,
347,Andre Cruz,9,20,1968,,,Defender,,
348,Andre Titi Buengo,2,11,1980,6,2,Forward,,
349,Gunnar Andreassen,1,15,1913,,,Midfielder,,
350,Michele Andreolo,9,6,1912,5,6,Midfielder,,
351,Hjalmar Andresen,7,18,1914,,,Forward,,
352,Marvin Andrews,12,22,1975,6,1,Defender,,
353,Sergei Andreyev,5,16,1956,,,Forward,,
354,Andrinua,5,9,1964,,,Defender,,
355,Jozsef Andrusch,3,31,1956,,,Goalkeeper,,
356,Mariano Andujar,7,30,1983,5,10,Goalkeeper,,
357,Nicolas Anelka,3,14,1979,6,0,Forward,,
358,Didier Angibeaud,10,8,1974,,,Midfielder,,
359,Brou Angoua,11,28,1986,5,10,Defender,,
360,Andrija Ankovic,7,16,1937,,,Midfielder,,
361,Anthony Annan,7,21,1986,5,7,Midfielder,,
362,Bob Annis,9,5,1928,,,Defender,,
363,Carlo Annovazzi,5,24,1925,,,Midfielder,,
364,Leopold Anoul,8,19,1922,,,Forward,,
365,Karim Ansarifard,4,3,1990,6,2,Forward,,
366,Juan Anselmo,4,30,1902,,,Forward,,
367,Kiki Antenen,11,3,1929,5,8,Forward,,
368,Giancarlo Antognoni,4,1,1954,,,Midfielder,,
369,Eddy Antoine,8,27,1949,,,Midfielder,,
370,Tomas Antonelius,5,7,1973,5,10,Defender,,
371,Antonio Sousa,4,28,1957,,,Midfielder,,
372,Antunez,11,1,1922,,,Defender,,
373,Roberto Anzolin,4,18,1938,,,Goalkeeper,,
374,Dennis Aogo,1,14,1987,6,0,Defender,,
375,Ibrahim Aoudou,8,23,1955,,,Defender,,
376,Toshihiro Aoyama,2,22,1986,5,8,Defender,,
377,Ernesto Aparicio,12,28,1948,,,Forward,,
378,Luigi Apolloni,5,2,1967,,,Defender,,
379,Carlos Aponte,1,24,1939,,,Defender,,
380,Stratos Apostololakis,5,11,1964,,,Defender,,
381,Vidin Apostolov,10,17,1941,,,Defender,,
382,Stephen Appiah,12,24,1980,5,10,Midfielder,,
383,German Apukthin,6,12,1936,,,Forward,,
384,Alberto Aquilani,6,7,1984,6,1,Midfielder,,
385,Javier Aquino,2,11,1990,5,4,Midfielder,,
386,Silvio Aquino,6,30,1949,,,Midfielder,,
387,Nikolai Arabov,11,14,1953,,,Defender,,
388,Araken,7,17,1905,,,Forward,,
389,Charles Aránguiz,4,17,1989,5,7,Midfielder,,
390,Aranzabal,3,15,1973,,,Defender,,
391,Duberty Araoz,12,21,1920,,,Midfielder,,
392,Araquistain,3,4,1937,,,Goalkeeper,,
393,Pedro Araya,1,23,1942,,,Forward,,
394,Alvaro Arbeloa,1,17,1983,6,0,Defender,,
395,Pietro Arcari,12,2,1909,,,Forward,,
396,Francisco Arce,4,2,1971,5,10,Defender,,
397,Steve Archibald,9,27,1956,,,Forward,,
398,Luis Arconada,6,26,1954,,,Goalkeeper,,
399,Osvaldo Ardiles,8,3,1952,,,Midfielder,,
400,Guillermo Arellano,8,21,1908,,,Forward,,
401,Jesus Arellano,5,8,1973,5,7,Forward,,
402,Raul Arellano,2,28,1935,,,Forward,,
403,Andre Arendse,6,27,1967,6,2,Goalkeeper,,
404,Edelmiro Arevalo,1,7,1929,,,Defender,,
405,Egidio Arevalo,1,1,1982,5,6,Midfielder,,
406,Argemiro,6,3,1915,,,Midfielder,,
407,Jorge Argote,1,1,1906,,,Midfielder,,
408,Antonio Arias,10,9,1944,,,Defender,,
409,Jairo Arias,11,2,1938,,,Forward,,
410,Joaquin Arias,11,12,1914,,,Midfielder,,
411,Santiago Arias,1,13,1992,5,10,Defender,,
412,Ariel,2,22,1910,,,Midfielder,,
413,Victor Aristizabal,12,9,1971,5,9,Forward,,
414,Oscar Arizaga,8,20,1957,,,Defender,,
415,Armandinho,3,6,1911,,,Forward,,
416,Pablo Armero,11,2,1986,5,8,Defender,,
417,Jimmy Armfield,9,21,1935,,,Defender,,
418,Desmond Armstrong,11,2,1964,,,Defender,,
419,Gerry Armstrong,5,23,1954,,,Forward,,
420,Ken Armstrong,6,3,1924,,,Midfielder,,
421,Frank Arnesen,9,30,1956,,,Midfielder,,
422,Mauricio Aros,3,9,1976,,,Defender,,
423,Vicente Arraya,1,25,1922,,,Goalkeeper,,
424,Michael Arroyo,4,23,1987,5,9,Midfielder,,
425,Milorad Arsenijevic,6,6,1906,,,Midfielder,,
426,Marcel Artelesa,7,2,1938,,,Midfielder,,
427,Luis Artime,12,2,1938,,,Forward,,
428,Peter Artner,5,20,1966,,,Defender,,
429,Julio Cesar Arzu,6,5,1954,,,Goalkeeper,,
430,Gerald Asamoah,10,3,1978,5,10,Forward,,
431,Kwadwo Asamoah,12,9,1988,5,6,Midfielder,,
432,Aljosa Asanovic,12,14,1965,,,Midfielder,,
433,Kakhi Asatiani,1,1,1947,,,Midfielder,,
434,Nicolas Asencio,4,26,1975,5,6,Midfielder,,
435,Juan Manuel Asensi,9,23,1949,,,Midfielder,,
436,Vicente Asensi,1,28,1919,,,Defender,,
437,Emre Asik,12,13,1973,6,0,Defender,,
438,Sanny Aslund,8,29,1952,,,Forward,,
439,Georgi Asparukhov,5,4,1943,,,Forward,,
440,Faustino Asprilla,11,10,1969,,,Forward,,
441,Salah Assad,6,10,1958,,,Forward,,
442,Ludovic Assemoassa,9,18,1980,6,0,Defender,,
443,Benoit Assou-Ekotto,3,24,1984,5,10,Defender,,
444,Eduardo Astengo,4,24,2016,,,Midfielder,,
445,Jeff Astle,5,13,1942,,,Forward,,
446,Alfred Aston,5,16,1912,,,Forward,,
447,John Aston,9,3,1921,,,Defender,,
448,Manuel Astorga,3,16,1943,,,Goalkeeper,,
449,Leonardo Astrada,1,6,1970,,,Midfielder,,
450,Ramon Astudillo,4,24,2016,,,Defender,,
451,Aleksandar Atanackovic,4,29,1920,,,Forward,,
452,Elias Atmatzidis,4,24,1969,,,Goalkeeper,,
453,Franck Atsou,8,1,1978,6,2,Midfielder,,
454,Christian Atsu,1,10,1992,5,7,Midfielder,,
455,Attila,12,16,1910,,,Forward,,
456,Marcel Aubour,6,17,1940,,,Goalkeeper,,
457,Klaus Augenthaler,9,26,1957,,,Defender,,
458,Arsene Auguste,2,3,1951,,,Defender,,
459,Brendan Augustine,10,26,1971,,,Midfielder,,
460,Augusto,10,22,1920,,,Defender,,
461,Jorgen Augustsson,10,28,1952,,,Defender,,
462,Andrew Auld,1,26,1900,,,Forward,,
463,Raimond Aumann,10,12,1963,,,Goalkeeper,,
464,Serge Aurier,12,24,1992,5,8,Defender,,
465,Raymond Ausloos,2,3,1930,,,Goalkeeper,,
466,Jean-Hubert Austin,2,23,1950,,,Midfielder,,
467,Enrique Avalos,1,1,1922,,,Forward,,
468,Marcial Avalos,4,24,2016,,,Forward,,
469,Rafael Avalos,1,1,1926,,,Midfielder,,
470,Istvan Avar,5,27,1905,,,Forward,,
471,Asmir Avdukic,5,13,1981,6,2,Goalkeeper,,
472,Jose Raul Aveiro,7,18,1936,,,Forward,,
473,Ludovico Avio,10,6,1931,,,Forward,,
474,Sven Axbom,10,15,1926,,,Defender,,
475,Kurt Axelsson,11,10,1941,,,Defender,,
476,Nils Axelsson,1,18,1906,,,Defender,,
477,William Ayache,1,10,1961,,,Defender,,
478,Celso Ayala,8,20,1970,5,9,Defender,,
479,Roberto Ayala,4,14,1973,5,9,Defender,,
480,Ruben Ayala,1,8,1950,,,Forward,,
481,Anis Ayari,2,16,1982,5,11,Defender,,
482,Andre Ayew,12,17,1989,5,8,Midfielder,,
483,Ibrahim Ayew,4,16,1988,5,9,Defender,,
484,Jordan Ayew,9,11,1991,5,11,Forward,,
485,Yussuf Ayila,11,4,1984,5,10,Midfielder,,
486,Jaime Ayoví,2,21,1988,6,0,Forward,,
487,Marlon Ayovi,9,27,1971,5,8,Defender,Midfielder,
