cid,cup_year,standing,stage,points,win,draw,loss,goals_scored,goals_against
3,1938,1,Final Game,8,4,0,0,11,5
3,1950,7,1st Round Groups,2,1,0,1,4,3
3,1954,10,1st Round Groups,2,1,0,2,6,7
3,1962,9,1st Round Groups,3,1,1,1,3,2
3,1966,9,1st Round Groups,2,1,0,2,2,2
3,1970,2,Final Game,8,3,2,1,10,8
3,1974,10,1st Round Groups,3,1,1,1,5,4
3,1978,4,3rd Place Game,9,4,1,2,9,6
3,1982,1,Final Game,11,4,3,0,12,6
3,1986,12,Round of 16,4,1,2,1,5,6
3,1990,3,3rd Place Game,13,6,1,0,10,2
3,1994,2,Final Game,14,4,2,1,8,5
3,1998,5,Quarter Finals,11,3,2,0,8,3
3,2002,15,Round of 16,4,1,1,2,5,5
3,2006,1,Final Game,17,5,2,0,12,2
3,2010,26,1st Round Groups,2,0,2,1,4,5
3,2014,22,1st Round Groups,3,1,0,2,2,3
42,2006,19,1st Round Groups,3,1,0,2,5,6
42,2010,17,1st Round Groups,4,1,1,1,4,3
42,2014,21,1st Round Groups,3,1,0,2,4,5
60,1998,22,1st Round Groups,3,1,0,2,3,9
35,1998,31,1st Round Groups,0,0,0,3,1,4
35,2002,9,Round of 16,7,2,1,1,5,3
35,2006,29,1st Round Groups,1,0,1,2,2,7
35,2010,9,Round of 16,7,2,1,1,4,2
35,2014,29,1st Round Groups,1,0,1,2,2,6
66,1982,21,1st Round Groups,1,0,1,2,2,6
13,1930,13,1st Round Groups,0,0,0,3,4,13
13,1950,12,1st Round Groups,0,0,0,3,2,10
13,1954,13,1st Round Groups,0,0,0,2,2,8
13,1958,16,1st Round Groups,1,0,1,2,1,8
13,1962,11,1st Round Groups,2,1,0,2,3,4
13,1966,12,1st Round Groups,2,0,2,1,1,3
13,1970,6,Quarter Finals,5,2,1,1,6,4
13,1978,16,1st Round Groups,0,0,0,3,2,12
13,1986,6,Quarter Finals,8,3,2,0,6,2
13,1994,13,Round of 16,5,1,2,1,4,4
13,1998,13,Round of 16,5,1,2,1,8,7
13,2002,11,Round of 16,7,2,1,1,4,4
13,2006,15,Round of 16,4,1,1,2,5,5
13,2010,14,Round of 16,4,1,1,2,4,5
13,2014,10,Round of 16,7,2,1,1,5,3
44,1970,14,1st Round Groups,1,0,1,2,2,6
44,1986,11,Round of 16,4,1,2,1,3,2
44,1994,23,1st Round Groups,0,0,0,3,2,5
44,1998,18,1st Round Groups,4,1,1,1,5,5
61,1982,23,1st Round Groups,0,0,0,3,2,12
61,2010,22,1st Round Groups,3,0,3,0,2,2
32,1994,9,Round of 16,6,2,0,2,7,4
32,1998,12,Round of 16,6,2,0,2,6,9
32,2002,27,1st Round Groups,1,0,1,2,1,3
32,2010,27,1st Round Groups,1,0,1,2,3,5
32,2014,16,Round of 16,4,1,1,2,3,5
58,1966,8,Quarter Finals,3,1,1,2,5,9
58,2010,32,1st Round Groups,0,0,0,3,1,12
39,1958,7,Quarter Finals,5,2,1,2,6,10
39,1982,9,2nd Round Groups,5,1,3,1,5,7
